STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_MINOR,STDNT_TEST_ENTRANCE1,STDNT_TEST_ENTRANCE2,FIRST_TERM,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,FATHER_HI_EDU_CD,MOTHER_HI_EDU_CD,DEGREE_GROUP_DESC,COST_OF_ATTEND,UNMET_NEED,1ST_YR_GPA,1ST_YR_EFFICIENCY
17,F,BGD 1,Y,N,English Language/Literature,Theatre Arts,,1350.0,200608,Off Campus,1,69.0,,,,Bachelors,0,0.0,2.0,1.0
18,F,BGD 1,Y,N,Joint Enrollment - Accel,N,,1080.0,200708,Off Campus,1,90.0,4.0,2.0,,Bachelors,199440,-200640.0,2.333333333333333,1.0
18,F,BGD 1,Y,N,Accounting,N,,1080.0,200708,Off Campus,1,69.0,4.0,2.0,2.0,Bachelors,1297440,438960.0,2.0,1.0
18,F,BGD 1,Y,N,Psychology,N,,,200708,Off Campus,1,0.0,3.46,,,Bachelors,326880,-326880.0,2.333333333333333,1.0
18,F,BGD 1,Y,N,Accounting,N,,1120.0,200708,Off Campus,1,0.0,3.93,4.0,2.0,Bachelors,1285860,655380.0,2.6666666666666665,1.0
18,F,BGD 6,Y,N,Biology,N,,1060.0,200808,Off Campus,1,69.0,3.93,1.0,1.0,Bachelors,1255740,624300.0,2.0,1.0
18,F,BGD 1,Y,N,Criminal Justice,N,,,200908,On Campus,1,,3.67,2.0,3.0,Bachelors,1418100,237480.0,2.333333333333333,0.9333333333333333
18,F,BGD 1,Y,N,Theatre Arts,N,,1250.0,200908,On Campus,1,150.0,2.9,3.0,2.0,Bachelors,1418100,222300.0,1.3333333333333333,1.0
18,F,BGD 1,Y,N,Psychology,N,,510.0,200908,On Campus,1,150.0,3.63,2.0,3.0,Bachelors,1418100,124200.0,2.666666666666667,1.0
18,F,BGD 1,Y,N,History and Secondary Ed,N,,1330.0,200908,On Campus,1,90.0,4.0,,,Bachelors,0,0.0,2.666666666666667,1.0
18,F,BGD 1,Y,N,Early Childhood Education,N,26.0,,201008,Off Campus,0,69.0,3.8,3.0,2.0,Bachelors,0,0.0,2.6666666666666665,0.8571428571428572
18,M,BGD 1,Y,N,Undeclared,N,,1200.0,201008,Off Campus,1,0.0,4.0,,,Bachelors,150540,-139140.0,3.0,1.0
18,F,BGD 1,N,N,Undeclared,N,26.0,,201008,Off Campus,1,69.0,3.75,3.0,2.0,Bachelors,0,0.0,2.0,0.8461538461538461
18,M,BGD 1,Y,N,Mathematics,N,,1170.0,200908,Off Campus,1,69.0,3.75,2.0,2.0,Bachelors,0,0.0,2.333333333333333,1.0
18,M,BGD 1,Y,N,History,N,31.0,1230.0,200908,Off Campus,1,69.0,4.0,3.0,3.0,Bachelors,0,0.0,2.666666666666667,1.0
17,F,BGD 1,Y,N,Pre-Nursing,N,25.0,1200.0,201008,Off Campus,1,69.0,4.0,4.0,2.0,Bachelors,0,0.0,2.333333333333333,1.0
18,F,BGD 1,Y,N,Undeclared,N,,,201008,Off Campus,1,0.0,3.9,4.0,3.0,Bachelors,0,0.0,3.0,1.0
18,M,BGD 6,Y,N,Engineering Studies,N,,1140.0,200508,Off Campus,1,0.0,3.6,2.0,3.0,Bachelors,0,0.0,2.666666666666667,1.0
18,M,BGD 1,Y,N,Computer Science - Systems,N,,1180.0,200508,Off Campus,1,69.0,3.56,2.0,,Bachelors,0,0.0,1.6666666666666665,1.0
18,M,BGD 1,Y,N,Computer Science - Systems,N,,1270.0,200708,On Campus,1,59.0,4.0,3.0,2.0,Bachelors,0,0.0,3.0,1.0
18,F,BGD 1,Y,N,Chemistry,N,,1160.0,200508,On Campus,1,69.0,4.0,3.0,3.0,Bachelors,0,0.0,2.0,1.0
18,M,BGD 4,Y,N,Music Performance,N,,1200.0,200808,Off Campus,1,150.0,4.0,3.0,3.0,Bachelors,0,0.0,1.3333333333333333,1.0
18,M,BGD 1,Y,N,Undeclared,N,,,201008,Off Campus,1,69.0,3.53,3.0,3.0,Bachelors,150540,-139140.0,3.0,1.0
18,F,BGD 1,Y,N,Undeclared,N,,1150.0,201008,Off Campus,1,69.0,4.0,3.0,3.0,Bachelors,301080,-278280.0,1.6666666666666665,1.0
18,F,BGD 1,N,N,Music Performance,N,,,200708,Off Campus,1,997.0,4.0,3.0,3.0,Bachelors,902760,-216000.0,1.3333333333333333,0.9642857142857143
18,F,BGD 3,Y,N,Pre-Business,N,,1010.0,201008,Off Campus,1,69.0,3.78,,,Bachelors,0,0.0,3.0,1.0
18,M,BGD 3,Y,N,Political Science,N,,1000.0,200508,On Campus,1,0.0,3.92,2.0,,Bachelors,1146420,447240.0,1.6666666666666665,1.0
18,F,BGD 6,Y,N,Undeclared,N,,1360.0,200508,Off Campus,0,69.0,3.93,,,Bachelors,0,0.0,1.3333333333333333,1.0
18,F,BGD 1,Y,N,Management,N,25.0,1190.0,200508,On Campus,1,69.0,3.33,4.0,2.0,Bachelors,0,0.0,2.0,1.0
18,M,BGD 1,Y,N,Pre-Engineering/RETP,N,,1040.0,200608,Off Campus,1,69.0,4.0,,,Bachelors,0,0.0,2.0,1.0
18,M,BGD 1,Y,N,Theatre Education,N,,1150.0,200608,Off Campus,1,181.0,3.8,3.0,3.0,Bachelors,0,0.0,1.6666666666666665,1.0
19,M,BGD 1,Y,N,Music Performance,N,,640.0,200608,Off Campus,1,69.0,3.0,,,Bachelors,0,0.0,1.3333333333333333,1.0
18,M,BGD 1,Y,N,Marketing,N,23.0,,200708,Off Campus,1,69.0,3.0,3.0,3.0,Bachelors,0,0.0,1.6666666666666665,0.8461538461538461
18,F,BGD 1,Y,N,Undeclared,N,,1000.0,200708,Off Campus,1,69.0,4.0,,,Bachelors,0,0.0,2.666666666666667,1.0
18,F,BGD 3,Y,N,Communication,N,,500.0,200708,On Campus,1,150.0,3.61,,3.0,Bachelors,1245480,324000.0,2.0,1.0
18,F,BGD 1,Y,N,Undeclared,N,,1180.0,200808,Off Campus,1,69.0,3.86,2.0,3.0,Bachelors,0,0.0,2.666666666666667,1.0
18,F,BGD 1,Y,N,Communication,Foundations of Business,20.0,,200808,Off Campus,1,69.0,4.0,2.0,2.0,Bachelors,0,0.0,2.6666666666666665,0.8666666666666667
19,M,BGD 1,Y,N,Music Education,N,,1180.0,200808,Off Campus,1,150.0,3.75,3.0,3.0,Bachelors,1306020,-285720.0,1.6666666666666665,1.0
18,F,BGD 1,Y,N,Undeclared,N,27.0,,200808,On Campus,0,69.0,3.93,2.0,2.0,Bachelors,0,0.0,3.0,1.0
17,F,BGD 1,Y,N,Undeclared,N,,1150.0,200808,Off Campus,0,0.0,3.86,3.0,3.0,Bachelors,1264860,-347580.0,2.333333333333333,1.0
18,F,BGD 4,Y,N,Undeclared,N,,1220.0,200908,Off Campus,1,69.0,3.3,2.0,2.0,Bachelors,1409460,-417420.0,3.0,1.0
20,F,BGD 6,N,Y,Music Performance,N,14.0,740.0,200908,On Campus,1,59.0,3.21,,,Bachelors,301080,-60000.0,1.3333333333333333,1.0
19,F,BGD 1,Y,N,French with Teacher Cert,N,,,200908,On Campus,0,150.0,3.86,3.0,3.0,Bachelors,0,0.0,2.0,1.0
18,M,BGD 1,Y,N,English and Secondary Ed,N,,1260.0,200908,On Campus,0,150.0,3.37,3.0,3.0,Bachelors,1418100,315480.0,2.333333333333333,1.0
19,F,BGD 1,Y,N,Undeclared,N,22.0,1000.0,200908,On Campus,0,90.0,3.67,,,Bachelors,451620,-649920.0,2.0,0.8666666666666667
18,F,BGD 1,Y,N,Early Childhood Education,N,,1100.0,201008,Off Campus,1,69.0,2.66,3.0,3.0,Bachelors,0,0.0,2.6666666666666665,1.0
18,F,BGD 1,Y,N,Theatre Arts,N,30.0,,201008,On Campus,1,90.0,3.33,3.0,3.0,Bachelors,0,0.0,2.333333333333333,1.0
18,M,BGD 1,Y,N,Music Performance,N,21.0,1180.0,201008,On Campus,0,138.0,3.82,3.0,3.0,Bachelors,0,0.0,2.333333333333333,1.0
18,F,BGD 1,Y,N,Exercise Science,N,20.0,,201008,Off Campus,1,69.0,3.62,3.0,2.0,Bachelors,0,0.0,3.0,0.8666666666666667
17,F,BGD 1,Y,N,History and Secondary Ed,N,24.0,1100.0,201008,On Campus,0,138.0,3.69,3.0,3.0,Bachelors,0,0.0,3.333333333333333,1.0
18,F,BGD 1,Y,N,Early Childhood Education,N,28.0,1350.0,200708,On Campus,1,69.0,2.88,2.0,2.0,Bachelors,0,0.0,2.6666666666666665,1.0
18,M,BGD 1,Y,N,English Language/Literature,N,,1300.0,200708,On Campus,1,0.0,3.93,3.0,2.0,Bachelors,0,0.0,2.333333333333333,1.0
18,F,BGD 3,Y,N,Psychology,N,,1220.0,200708,Off Campus,1,69.0,4.0,2.0,4.0,Bachelors,199440,0.0,1.3333333333333333,1.0
18,M,BGD 1,N,N,Music Education,N,,1310.0,200808,Off Campus,1,666.0,3.33,3.0,3.0,Bachelors,0,0.0,1.3333333333333333,1.0
18,F,BGD 1,N,N,Marketing,N,26.0,,200608,Off Campus,1,69.0,3.46,3.0,2.0,Bachelors,1504980,1216980.0,2.333333333333333,1.0
18,F,BGD 1,Y,N,Undeclared,N,,1270.0,200508,Off Campus,1,69.0,3.87,3.0,2.0,Bachelors,1146420,-288180.0,2.333333333333333,1.0
18,M,BGD 1,Y,N,Music Performance,N,,1390.0,200808,Off Campus,1,69.0,4.0,3.0,3.0,Bachelors,0,0.0,1.3333333333333333,1.0
18,F,BGD 6,Y,N,Biology,N,,1060.0,200608,Off Campus,1,69.0,4.0,3.0,1.0,Bachelors,0,0.0,1.6666666666666665,1.0
17,F,BGD 1,N,N,General Business,N,24.0,1070.0,200808,On Campus,1,190.0,3.81,3.0,2.0,Bachelors,1306020,-12540.0,2.333333333333333,1.0
17,M,BGD 1,Y,N,English Language/Literature,N,,1180.0,201008,Off Campus,1,69.0,,3.0,3.0,Bachelors,0,0.0,2.0,0.875
18,F,BGD 1,Y,N,Theatre Arts,N,,690.0,200608,Off Campus,1,150.0,3.88,3.0,3.0,Bachelors,0,0.0,1.6666666666666665,1.0
18,F,BGD 1,N,N,Mathematics,N,,,200808,Off Campus,1,69.0,4.0,2.0,3.0,Bachelors,0,0.0,2.0,0.9
18,F,BGD 1,Y,N,Early Childhood Education,N,18.0,940.0,200808,Off Campus,1,69.0,3.8,2.0,2.0,Bachelors,1346640,622200.0,2.0,1.0
18,F,BGD 4,Y,N,Psychology,N,,560.0,200808,Off Campus,1,69.0,3.79,3.0,3.0,Bachelors,0,0.0,2.333333333333333,1.0
18,F,BGD 1,Y,N,Theatre Arts,N,,1160.0,201008,On Campus,1,138.0,3.92,4.0,4.0,Bachelors,0,0.0,1.3333333333333333,1.0
18,F,BGD 1,Y,N,Music Education,N,22.0,1100.0,200808,Off Campus,1,69.0,3.75,3.0,3.0,Bachelors,0,0.0,1.3333333333333333,1.0
18,F,BGD 1,Y,N,Undeclared,N,20.0,980.0,200908,Off Campus,1,69.0,4.0,1.0,3.0,Bachelors,1409460,527400.0,2.583333333333333,1.0
19,F,BGD 3,Y,N,Pre-Nursing,N,,460.0,200908,On Campus,1,90.0,3.26,3.0,2.0,Bachelors,1418100,92760.0,2.25,0.8333333333333333
18,F,BGD 1,Y,N,Pre-Nursing,N,,1020.0,201008,Off Campus,1,69.0,3.7,3.0,3.0,Bachelors,0,0.0,2.25,0.8823529411764706
18,F,BGD 1,Y,N,Nursing,N,,1150.0,200708,Off Campus,0,0.0,3.93,,,Bachelors,199440,0.0,1.9166666666666665,1.0
18,F,BGD 3,Y,N,Pre-Nursing,N,20.0,920.0,200808,Off Campus,1,0.0,3.71,4.0,2.0,Bachelors,1355760,572700.0,2.25,1.0
17,F,BGD 1,Y,N,Pre-Nursing,Spanish,,,200908,Off Campus,1,69.0,3.74,2.0,2.0,Bachelors,1324500,0.0,2.25,1.0
19,F,BGD 8,Y,N,Pre-Nursing,N,20.0,950.0,200908,Off Campus,1,69.0,2.8,3.0,2.0,Bachelors,0,0.0,2.583333333333333,1.0
18,F,BGD 3,Y,N,Pre-Nursing,N,20.0,410.0,200908,On Campus,1,150.0,2.63,3.0,3.0,Bachelors,1025700,0.0,3.25,1.0
18,M,BGD 1,N,N,Biology,N,21.0,,200508,Off Campus,1,0.0,4.0,,,Bachelors,224640,-60000.0,2.583333333333333,1.0
18,F,BGD 1,N,N,Engineering Studies,N,21.0,1010.0,200708,On Campus,0,90.0,3.8,,,Bachelors,0,0.0,2.25,1.0
18,M,BGD 1,Y,N,Music Performance,N,,1310.0,200508,Off Campus,1,150.0,3.93,,,Bachelors,0,0.0,1.25,1.0
18,F,BGD 3,Y,N,Computer Science - Systems,N,,1050.0,200508,On Campus,1,176.0,3.47,1.0,3.0,Bachelors,0,0.0,2.583333333333333,1.0
18,F,BGD 1,Y,N,Nursing,N,20.0,990.0,200708,On Campus,1,150.0,3.52,3.0,3.0,Bachelors,1233900,-374880.0,2.5833333333333335,1.0
17,M,BGD 1,Y,N,Undeclared,N,,1290.0,200808,Off Campus,1,69.0,,,,Bachelors,0,0.0,2.583333333333333,1.0
18,M,BGD 1,Y,N,Music Education,N,28.0,1310.0,200908,On Campus,1,150.0,4.0,3.0,3.0,Bachelors,1418100,-481200.0,1.5833333333333333,1.0
19,F,BGD 1,N,N,Undeclared,N,25.0,,200908,Off Campus,0,69.0,3.68,2.0,2.0,Bachelors,1417380,807780.0,2.25,1.0
18,F,BGD 1,Y,N,Biology,N,,1110.0,200508,Off Campus,1,69.0,3.25,,,Bachelors,336960,-288180.0,2.25,1.0
18,M,BGD 1,Y,N,History and Secondary Ed,N,,1160.0,200508,Off Campus,1,0.0,3.73,4.0,2.0,Bachelors,0,0.0,1.9166666666666665,1.0
18,F,BGD 1,Y,N,Theatre Arts,N,,1120.0,200508,On Campus,1,69.0,3.87,3.0,3.0,Bachelors,0,0.0,1.5833333333333335,0.9166666666666667
18,F,BGD 1,Y,N,Nursing,N,,940.0,200508,Off Campus,1,59.0,3.86,2.0,2.0,Bachelors,0,0.0,3.25,1.0
18,F,BGD 1,Y,N,Mathematics and Secondary Ed,N,24.0,1280.0,200508,Off Campus,1,0.0,3.73,3.0,3.0,Bachelors,216480,-179760.0,2.25,1.0
18,F,BGD 1,Y,N,History and Secondary Ed,N,,1080.0,200608,Off Campus,1,69.0,3.93,3.0,3.0,Bachelors,1171380,-299160.0,2.583333333333333,0.90625
18,M,BGD 1,Y,N,Finance,N,,,200608,Off Campus,1,69.0,3.28,2.0,3.0,Bachelors,1504980,292320.0,2.25,1.0
19,F,BGD 3,Y,N,Nursing,N,,1000.0,200608,Off Campus,1,0.0,3.71,4.0,1.0,Bachelors,1187280,358620.0,2.25,1.0
19,M,BGD 1,Y,N,General Business,N,,1240.0,200708,Off Campus,1,0.0,3.06,3.0,3.0,Bachelors,0,0.0,2.9166666666666665,1.0
18,F,BGD 1,Y,N,Undeclared,N,,1030.0,200808,Off Campus,1,69.0,3.73,2.0,3.0,Bachelors,1355760,-407580.0,2.25,0.8333333333333333
18,F,BGD 1,Y,N,Pre-Nursing,N,,,200808,Off Campus,1,59.0,4.0,2.0,2.0,Bachelors,1355760,-169620.0,2.25,1.0
18,F,BGD 1,Y,N,Computer Science - Systems,N,,1140.0,200808,On Campus,1,150.0,4.0,3.0,2.0,Bachelors,0,0.0,2.25,1.0
18,M,BGD 1,N,N,Biology,N,26.0,,200908,Off Campus,1,90.0,3.5,,,Bachelors,1409460,163440.0,2.25,1.0
17,F,BGD 2,Y,N,Joint Enrollment - Accel,N,22.0,900.0,201008,Off Campus,1,69.0,4.0,3.0,3.0,Bachelors,150540,-139140.0,3.25,1.0
18,F,BGD 1,Y,N,History,N,,,200608,On Campus,1,69.0,3.66,3.0,3.0,Bachelors,1176420,252240.0,2.25,1.0
18,M,BGD 1,Y,N,Music Education,N,25.0,1090.0,200908,On Campus,0,150.0,3.64,2.0,2.0,Bachelors,1418100,92760.0,1.9166666666666665,1.0
19,M,BGD 1,Y,N,English Language/Literature,N,,900.0,201008,Off Campus,1,0.0,3.4375,,,Bachelors,0,0.0,1.9166666666666665,0.8076923076923077
17,M,BGD 2,Y,N,Criminal Justice,N,,1120.0,200908,On Campus,1,90.0,3.85,2.0,2.0,Bachelors,0,0.0,2.583333333333333,1.0
18,F,BGD 1,Y,N,Psychology,N,,1080.0,200908,On Campus,0,69.0,3.26,3.0,4.0,Bachelors,1418100,144180.0,2.25,1.0
18,F,BGD 1,Y,N,Theatre Arts,N,,1270.0,201008,On Campus,1,138.0,3.92,3.0,3.0,Bachelors,0,0.0,1.25,1.0
18,F,BGD 4,Y,N,Biology,N,22.0,1010.0,200608,On Campus,1,90.0,3.83,3.0,3.0,Bachelors,1160520,-130980.0,1.5833333333333333,0.925
18,F,BGD 1,Y,N,Theatre Education,N,,1280.0,200708,Off Campus,1,188.0,3.61,3.0,4.0,Bachelors,0,0.0,1.25,1.0
19,F,BGD 7,Y,N,Theatre Arts,N,,1250.0,200808,Off Campus,1,150.0,3.07,3.0,3.0,Bachelors,1306020,-347580.0,1.5833333333333335,1.0
18,F,BGD 1,Y,N,Communication,N,18.0,930.0,200908,On Campus,1,69.0,3.46,3.0,2.0,Bachelors,1418100,-417420.0,2.583333333333333,0.8823529411764706
18,M,BGD 1,Y,N,Music Performance,N,,1190.0,201008,On Campus,1,150.0,2.8,3.0,,Bachelors,0,0.0,1.9166666666666665,0.9722222222222222
18,M,BGD 1,Y,N,Theatre Arts,N,24.0,1180.0,201008,On Campus,1,150.0,2.96,,,Bachelors,0,0.0,1.5833333333333333,1.0
18,F,BGD 1,Y,N,Nursing,N,,,200508,Off Campus,1,69.0,3.68,3.0,2.0,Bachelors,336960,-288180.0,2.25,1.0
18,M,BGD 1,Y,N,Undeclared,N,,1020.0,200508,On Campus,1,69.0,3.64,2.0,2.0,Bachelors,0,0.0,2.25,0.90625
18,F,BGD 1,Y,N,Nursing,N,,930.0,200608,On Campus,1,69.0,3.36,2.0,2.0,Bachelors,0,0.0,2.5833333333333335,0.8666666666666667
18,F,BGD 1,Y,N,Undeclared,N,,1110.0,200808,Off Campus,1,69.0,3.33,3.0,3.0,Bachelors,0,0.0,2.5833333333333335,1.0
18,F,BGD 3,Y,N,French,Foundations of Business,,1250.0,200908,Off Campus,1,0.0,3.93,2.0,2.0,Bachelors,1316580,327660.0,2.25,1.0
18,F,BGD 4,Y,N,Health Science,N,,570.0,200808,Off Campus,1,69.0,3.6,4.0,3.0,Bachelors,1255740,621600.0,2.583333333333333,1.0
17,F,BGD 3,Y,N,Early Childhood Education,N,24.0,,200508,On Campus,0,138.0,3.6,2.0,4.0,Bachelors,1146420,440280.0,2.9166666666666665,1.0
18,F,BGD 3,Y,N,Nursing,N,,480.0,200508,On Campus,1,59.0,3.73,3.0,3.0,Bachelors,1146420,471660.0,2.9166666666666665,1.0
18,F,BGD 1,Y,N,Biology,N,,570.0,200608,Off Campus,0,150.0,3.16,2.0,3.0,Bachelors,0,0.0,2.9166666666666665,1.0
18,M,BGD 1,Y,N,Undeclared,N,,1280.0,200708,Off Campus,0,69.0,3.33,3.0,3.0,Bachelors,1201500,-326880.0,1.9166666666666665,0.9642857142857143
18,F,BGD 1,Y,N,Criminal Justice,N,,1180.0,200808,On Campus,1,138.0,3.72,3.0,2.0,Bachelors,0,0.0,1.9166666666666665,1.0
18,F,BGD 4,Y,N,Spec Ed: Gen. Curr. - Reading,N,,560.0,200908,Off Campus,1,69.0,3.92,3.0,3.0,Bachelors,0,0.0,1.5833333333333333,0.90625
18,F,BGD 3,Y,N,English and Secondary Ed,N,,,200908,On Campus,1,0.0,3.86,2.0,3.0,Bachelors,1410180,407280.0,2.583333333333333,1.0
18,M,BGD 4,Y,N,Exercise Science,N,,1010.0,200508,On Campus,1,190.0,3.15,3.0,2.0,Bachelors,1146420,-288180.0,1.9166666666666665,1.0
